Feature ID	Taxon	Confidence
cb89cf7715b4a361ad536808f4c7fd8a	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae;g__Sporichthyaceae;s__	0.9880241897243532
c0d31890b345f55e2382724c8d5cdcfa	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter;s__	0.9752580452693728
01eaa21b338c9260b6ab7c9e893e8ee8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__	0.9934680753648117
f9a9077bb0be0c31d35ce4520e28c222	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae	0.9999929644440959
7c431fe10c2f1812b6db5c891e21b61e	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Blastocatella;s__	0.8409595795979242
967b353aba731fceafcd2bae7e8cd1ae	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__JG36-TzT-191;f__JG36-TzT-191;g__JG36-TzT-191;s__	0.9698426895876038
4088ae8e3c3809c863fca66310886002	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae	0.9996969901082173
5915a986bd0f4041bc1b79a8165e3f07	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae	0.9999838987363117
ec6c0b92e39fc7119f9f8d152e7cc4d7	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae	0.9997235335405142
e49dcdcadaf4b8986837a07cf4c6afce	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae	0.9999861201130488
21cf0589d1aed0047ae47217d72940c2	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae	0.9996387393323755
1b15701cbb6bffdb8782d5d78b192212	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__	0.9980846127020178
414a2943b5ef6acb1bcc3932ccb72a1e	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae	0.9974558504575851
4b90fb7c7941cf1a6fdbbf437dd3e1fd	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae	0.9999556438252025
27b2ce94e8a384044b3c22a057b15c10	d__Bacteria;p__Chloroflexi;c__OLB14;o__OLB14;f__OLB14;g__OLB14;s__	0.9938007024763492
05f80e986679f65eddd631c9ac522974	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae	0.9999775475318479
