"","HRUU1","HRUU10","HRUU11","HRUU12","HRUU13","HRUU14","HRUU15","HRUU16","HRUU17","HRUU18","HRUU19","HRUU2","HRUU20","HRUU21","HRUU22","HRUU23","HRUU24","HRUU25","HRUU26","HRUU3","HRUU4","HRUU5","HRUU6","HRUU7","HRUU8","HRUU9","Domain","Phylum","Class","Order","Family","Genus"
"JG30-KF-CM45",0.0202535059331176,0.0180469912821603,0.0218394256231061,0,0.0111185983827493,0.0138479137816846,0.0135021980322378,0.013560411311054,0.0151968550137887,0,0.0337634552383499,0.00921895006402049,0.01578537552205,0,0.0282059481931564,0.0333428124555666,0.008816895632561,0,0,0,0,0,0,0.011533579824513,0.010370738371732,0.0162517289073306,"Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","JG30-KF-CM45"
"JG30-KF-CM66",0.00223840345199569,0.0069902190091431,0.00496846932925664,0.00917636526410027,0.0183288409703504,0.00650249864531278,0.0117228386016328,0.0170308483290488,0.00310978114181776,0.00301878354203936,0.0157117068930935,0.00160051216389245,0.014511219650315,0.0179261862917399,0.00511672529581068,0.00547419308971989,0.00912446175927824,0,0,0,0,0,0,0.0157276088516086,0.00807302987021052,0.0140041493775934,"Bacteria","Chloroflexi","JG30-KF-CM66","JG30-KF-CM66","JG30-KF-CM66","JG30-KF-CM66"
"JG36-TzT-191",0.0103829557713053,0.0278279821390602,0.0220578198793372,0.0164876156371232,0.0123315363881402,0.0204106207477873,0.0144965459493406,0.0224935732647815,0.017074458722056,0.026721824686941,0.0307548305141405,0.0128040973111396,0.0356055779712607,0.0213005272407733,0.00677966101694915,0.00447888525522537,0.0190178388353496,0,0,0,0,0,0,0.028199326747972,0.0206793765136931,0.015387275242047,"Bacteria","Proteobacteria","Gammaproteobacteria","JG36-TzT-191","JG36-TzT-191","JG36-TzT-191"
"JGI_0001001-H03",0.00186084142394822,0,0.000791679178837597,0.00455088033422859,0.00464959568733154,0.00559937383346378,0.00350638476030982,0.00494858611825193,0,0,0.00434579126830247,0.00198463508322663,0.00714943016917959,0.00478031634446397,0,0,0.00251179003485749,0,0,0,0,0,0,0,0.00273241010991741,0.00616643614568926,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","JGI_0001001-H03"
"Kaistia",0.00110571736785329,0.00536891345949394,0.00428598727853457,0.00678901820352134,0,0.0148714552351135,0,0,0.00440063369125154,0.00285107334525939,0.00568295781239553,0.00243277848911652,0.00672471154526793,0.00590509666080844,0,0,0.00404962066844372,0,0,0,0,0,0,0.00342144473263065,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae","Kaistia"
"Kapabacteriales",0.00895361380798274,0.00220603869870296,0.00289372389506156,0.00872873769024172,0.0107142857142857,0.00903124811848998,0.00973414276742725,0.0101542416452442,0.00698233879011911,0.00419275491949911,0,0.00761843790012804,0,0.00632688927943761,0.00492484809721778,0.00483435233897341,0.00861185154808284,8.11490708431388e-05,0.000211577522004062,0,0,0,0,0.00579438220848739,0.0101223374526486,0.00576302443522361,"Bacteria","Bacteroidota","Kapabacteria","Kapabacteriales","Kapabacteriales","Kapabacteriales"
"KD4-96",0.000943905070118662,0.00154156921114182,0.000900876306953127,0.00492390331244405,0.00357142857142857,0.00590041543741345,0.00654176261251832,0.00032133676092545,0.00140820278120049,0.000279516994633274,0.000869158253660493,0.00224071702944942,0.000778650810504707,0.0021792618629174,0.00383754397185801,0.00191952225223944,0.00123026450686898,0.00113608699180394,0.000930941096817874,0,0,0.000438404208680403,0.00230470645317807,0.00529772087633133,0.00558902067937651,0.00593591516828031,"Bacteria","Chloroflexi","KD4-96","KD4-96","KD4-96","KD4-96"
"Kocuria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria"
"Lacihabitans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000243447212529417,0.000296208530805687,0,0,0,0,0,0,0,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Lacihabitans"
"Latescibacterota",0,0,0,0,0,0.000301041603949666,0,0,0,0,0.000334291636023267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028815122176118,"Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota"
