"","HRUU1","HRUU10","HRUU11","HRUU12","HRUU13","HRUU14","HRUU15","HRUU16","HRUU17","HRUU18","HRUU19","HRUU2","HRUU20","HRUU21","HRUU22","HRUU23","HRUU24","HRUU25","HRUU26","HRUU3","HRUU4","HRUU5","HRUU6","HRUU7","HRUU8","HRUU9","Domain","Phylum","Class","Order","Family"
"Candidatus_Yanofskybacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000690434345970374,0,0,0,0,0,"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Yanofskybacteria","Candidatus_Yanofskybacteria"
"Candidatus_Zambryskibacteria",0.000269687162891046,0,0,0,0,0,0,0,0,0,0,0.000768245838668374,0,0,0,0,0,0,0,0.00108357808891043,0.000439367311072056,0.000511471576793804,0.000485201358563804,0,0,0,"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Zambryskibacteria","Candidatus_Zambryskibacteria"
"Catellicoccaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000284021747950986,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Catellicoccaceae"
"Caulobacteraceae",0.000431499460625674,0,0,0,0,0,0.000680343311701905,0.00057840616966581,0.00422460834360148,0.00240384615384615,0,0.00115236875800256,0.000353932186593049,0,0,0,0,0.00231274851902946,0.00228503723764387,0.000684365108785537,0.00131810193321617,0.00752593891568026,0.00824842309558467,0.000275922962308923,0.000931503446562752,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae"
"CCD24",0.000134843581445523,0.000691048267063576,0,0.00261116084750821,0.00121293800539084,0.00186645794448793,0.00167469122880469,0.00237789203084833,0.00575016135656868,0.00441636851520572,0.00508123286755365,0,0.00453033198839102,0.00210896309314587,0.0017268947873361,0.0023460827527371,0,0,0,0,0,0,0,0,0.000496801838166801,0.000403411710465652,"Bacteria","Proteobacteria","Gammaproteobacteria","CCD24","CCD24"
"Cellvibrionaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000324596283372555,0.000296208530805687,0,0,0.000438404208680403,0.000667151868025231,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae"
"Chitinibacteraceae",0.00129449838187702,0,0,0,0,0,0,0,0,0,0,0.000960307298335467,0,0,0,0,0,0.000243447212529417,0.000719363574813812,0.000998032450312242,0.00112980165704243,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chitinibacteraceae"
"Chitinophagaceae",0.049730312837109,0.0498883691260897,0.0696131691736507,0.0193971948672038,0.0238544474393531,0.0104160394966584,0.0384655641616077,0.0397172236503856,0.0232940210056915,0.0253242397137746,0.00942702413585612,0.0399487836107554,0.0115381892829334,0.0199648506151142,0.0255196674128558,0.0342670268733115,0.0266044699610416,0.0126592550515297,0.0124830737982397,0.045852462288631,0.0411122269645995,0.0244775683179892,0.0220766618146531,0.0205286683957839,0.0275725020182575,0.0266828031350853,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae"
"Chloroplast",0,0,0,0,0,0,0,0,0,0,0,0.000768245838668374,0,0,0,0,0,0.013470745759961,0.016926201760325,0.000598819470187345,0.000627667587245795,0.026085050416484,0.00515526443474042,0,0,0,"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast"
"Chthoniobacteraceae",0.00571736785329018,0.016771209866043,0.00384919876607245,0.00298418382572366,0.0190700808625337,0.00794749834427118,0.0216139836717605,0.0159383033419023,0.000645426274716893,0,0.0341646052015779,0.00480153649167734,0.0404898421462448,0,0.000511672529581068,0.000639840750746481,0.0055361902809104,0.002921366550353,0.00241198375084631,0,0,0.00226508841151542,0.00127365356622999,0.00546327465371668,0.0170154629572129,0.0273167358229599,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae"
"Chthonomonadaceae",0.00663430420711974,0.00358813523283011,0.00163795692173296,0.0052969262906595,0.00923180592991914,0.010777289421398,0.00785011513502198,0.00816195372750643,0.00704101390600246,0.0101185152057245,0.00554924115798623,0.0160051216389245,0.00714943016917959,0.0135676625659051,0.00914614646626159,0.0103085454286933,0.0112261636251794,0,0,0,0,0,0,0.0185972076596214,0.0144693535366081,0.012217611802674,"Bacteria","Armatimonadota","Chthonomonadetes","Chthonomonadales","Chthonomonadaceae"
