"","Df","SumOfSqs","R2","F","Pr(>F)"
"type",12,6.31211329923456,0.516795738101844,1.15864468457096,0.069
"Residual",13,5.90182894885465,0.483204261898156,NA,NA
"Total",25,12.2139422480892,1,NA,NA
