"","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif","metric"
"51","AA","RGF1B_Matrix","RGF1B_Water",0,0.327007733232066,-0.352118171488168,1.0061336379523,0.764,"ns","Shannon"
"52","AA","RGF1B_Matrix","RGF2",0,0.100637449204514,-0.57848845551572,0.779763353924748,1,"ns","Shannon"
"53","AA","RGF1B_Matrix","RGF3",0,-0.129094433941664,-0.808220338661898,0.55003147077857,1,"ns","Shannon"
"54","AA","RGF1B_Matrix","RGF4",0,0.217416749339071,-0.461709155381163,0.896542654059305,0.977,"ns","Shannon"
"55","AA","RGF1B_Matrix","RGF5",0,0.299070382608728,-0.380055522111506,0.978196287328962,0.842,"ns","Shannon"
"56","AA","RGF1B_Matrix","RGF6",0,0.219876950017353,-0.459248954702881,0.899002854737587,0.975,"ns","Shannon"
"57","AA","RGF1B_Matrix","RGF7",0,0.122076039312144,-0.55704986540809,0.801201944032378,1,"ns","Shannon"
"58","AA","RGF1B_Water","RGF2",0,-0.226370284027552,-0.905496188747786,0.452755620692682,0.969,"ns","Shannon"
"59","AA","RGF1B_Water","RGF3",0,-0.45610216717373,-1.13522807189396,0.223023737546504,0.359,"ns","Shannon"
"60","AA","RGF1B_Water","RGF4",0,-0.109590983892995,-0.788716888613229,0.569534920827239,1,"ns","Shannon"
"61","AA","RGF1B_Water","RGF5",0,-0.027937350623338,-0.707063255343572,0.651188554096896,1,"ns","Shannon"
"62","AA","RGF1B_Water","RGF6",0,-0.107130783214713,-0.786256687934947,0.571995121505521,1,"ns","Shannon"
"63","AA","RGF1B_Water","RGF7",0,-0.204931693919923,-0.884057598640157,0.474194210800311,0.985,"ns","Shannon"
"64","AA","RGF2","RGF3",0,-0.229731883146179,-0.908857787866413,0.449394021574056,0.966,"ns","Shannon"
"65","AA","RGF2","RGF4",0,0.116779300134557,-0.562346604585678,0.795905204854791,1,"ns","Shannon"
"66","AA","RGF2","RGF5",0,0.198432933404214,-0.48069297131602,0.877558838124448,0.988,"ns","Shannon"
"67","AA","RGF2","RGF6",0,0.119239500812839,-0.559886403907395,0.798365405533073,1,"ns","Shannon"
"68","AA","RGF2","RGF7",0,0.0214385901076293,-0.657687314612605,0.700564494827863,1,"ns","Shannon"
"69","AA","RGF3","RGF4",0,0.346511183280735,-0.332614721439499,1.02563708800097,0.702,"ns","Shannon"
"70","AA","RGF3","RGF5",0,0.428164816550392,-0.250961088169842,1.10729072127063,0.438,"ns","Shannon"
"71","AA","RGF3","RGF6",0,0.348971383959017,-0.330154520761217,1.02809728867925,0.694,"ns","Shannon"
"72","AA","RGF3","RGF7",0,0.251170473253808,-0.427955431466426,0.930296377974042,0.94,"ns","Shannon"
"73","AA","RGF4","RGF5",0,0.0816536332696574,-0.597472271450577,0.760779537989891,1,"ns","Shannon"
"74","AA","RGF4","RGF6",0,0.00246020067828212,-0.676665704041952,0.681586105398516,1,"ns","Shannon"
"75","AA","RGF4","RGF7",0,-0.0953407100269272,-0.774466614747161,0.583785194693307,1,"ns","Shannon"
"76","AA","RGF5","RGF6",0,-0.0791934325913752,-0.758319337311609,0.599932472128859,1,"ns","Shannon"
"77","AA","RGF5","RGF7",0,-0.176994343296585,-0.856120248016819,0.502131561423649,0.995,"ns","Shannon"
"78","AA","RGF6","RGF7",0,-0.0978009107052094,-0.776926815425443,0.581324994015025,1,"ns","Shannon"
"79","AA","Clarified_Outlet","DAF_Sludge",0,32.9531466691616,-178.337641266193,244.243934604517,1,"ns","Inv_Simpson"
"80","AA","Clarified_Outlet","Raw_Water",0,101.173538045693,-110.117249889662,312.464325981048,0.769,"ns","Inv_Simpson"
"81","AA","Clarified_Outlet","RGF1",0,190.03204141008,-21.2587465252748,401.322829345435,0.0955,"ns","Inv_Simpson"
"82","AA","Clarified_Outlet","RGF1B_1L_Matrix",0,145.145828445387,-66.1449594899676,356.436616380742,0.332,"ns","Inv_Simpson"
"83","AA","Clarified_Outlet","RGF1B_Matrix",0,118.368664176718,-92.9221237586367,329.659452112073,0.59,"ns","Inv_Simpson"
"84","AA","Clarified_Outlet","RGF1B_Water",0,186.017452903922,-25.2733350314334,397.308240839277,0.108,"ns","Inv_Simpson"
"85","AA","Clarified_Outlet","RGF2",0,140.013473239151,-71.2773146962044,351.304261174506,0.375,"ns","Inv_Simpson"
"86","AA","Clarified_Outlet","RGF3",0,91.0549584878604,-120.235829447495,302.345746423215,0.858,"ns","Inv_Simpson"
"87","AA","Clarified_Outlet","RGF4",0,185.960774087286,-25.330013848069,397.251562022641,0.108,"ns","Inv_Simpson"
"88","AA","Clarified_Outlet","RGF5",0,198.873118347264,-12.4176695880911,410.163906282619,0.0732,"ns","Inv_Simpson"
"89","AA","Clarified_Outlet","RGF6",0,173.090269106665,-38.20051882869,384.38105704202,0.157,"ns","Inv_Simpson"
"90","AA","Clarified_Outlet","RGF7",0,107.215095447913,-104.075692487442,318.505883383268,0.709,"ns","Inv_Simpson"
"91","AA","DAF_Sludge","Raw_Water",0,68.2203913765317,-143.070396558823,279.511179311887,0.976,"ns","Inv_Simpson"
"92","AA","DAF_Sludge","RGF1",0,157.078894740919,-54.2118931944364,368.369682676274,0.244,"ns","Inv_Simpson"
"93","AA","DAF_Sludge","RGF1B_1L_Matrix",0,112.192681776226,-99.0981061591292,323.483469711581,0.656,"ns","Inv_Simpson"
"94","AA","DAF_Sludge","RGF1B_Matrix",0,85.4155175075567,-125.875270427798,296.706305442912,0.899,"ns","Inv_Simpson"
"95","AA","DAF_Sludge","RGF1B_Water",0,153.06430623476,-58.226481700595,364.355094170115,0.271,"ns","Inv_Simpson"
